chunk_id,source_id,source_title,organization,format,year,url,section,chunk_length,breadcrumb
SRC001_CHUNK_8_4_1_3_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,966,Implementation > 2.  Methods > 2.1 Contributors to the guideline > 2.1.3 External Review Group
SRC001_CHUNK_8_4_1_4_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1388,Implementation > 2.  Methods > 2.1 Contributors to the guideline > 2.1.4 T echnical Working Group
SRC001_CHUNK_8_4_1_5_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,937,Implementation > 2.  Methods > 2.1 Contributors to the guideline > 2.1.5 External partners and observers
SRC001_CHUNK_8_4_2_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,2354,Implementation > 2.  Methods > 2.2 Identifying priority questions and outcomes
SRC001_CHUNK_8_4_2_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1383,Implementation > 2.  Methods > 2.2 Identifying priority questions and outcomes > Box 2.1 Positive postnatal experience
SRC001_CHUNK_8_4_3_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1453,Implementation > 2.  Methods > 2.3 Integration of recommendations from published WHO guidelines
SRC001_CHUNK_8_4_4_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,4106,Implementation > 2.  Methods > 2.4 Focus and approach
SRC001_CHUNK_8_4_5_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,4598,Implementation > 2.  Methods > 2.5 Evidence identification and retrieval
SRC001_CHUNK_8_4_6_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,136,Implementation > 2.  Methods > 2.6 Quality assessment and grading of the evidence
SRC001_CHUNK_8_4_6_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1989,Implementation > 2.  Methods > 2.6 Quality assessment and grading of the evidence > 2.6.1 Quality assessment of primary studies included in the reviews
SRC001_CHUNK_8_4_6_2_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,2243,Implementation > 2.  Methods > 2.6 Quality assessment and grading of the evidence > 2.6.2 Grading of the review evidence
SRC001_CHUNK_8_4_7_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,5841,Implementation > 2.  Methods > 2.7 Formulation of the recommendations
SRC001_CHUNK_8_4_7_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,4713,Implementation > 2.  Methods > 2.7 Formulation of the recommendations > Box 2.2 Health equity - general considerations
SRC001_CHUNK_8_4_8_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1309,Implementation > 2.  Methods > 2.8 Decision-making during the GDG meetings
SRC001_CHUNK_8_4_9_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,2397,Implementation > 2.  Methods > 2.9 Declaration of interests by external contributors
SRC001_CHUNK_8_4_10_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1170,Implementation > 2.  Methods > 2.10 Document preparation and peer review
SRC001_CHUNK_8_4_11_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1107,Implementation > 2.  Methods > 2.11 Presentation of guideline content
SRC001_CHUNK_8_5_0_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1295,Implementation > 3.  Evidence and recommendations
SRC001_CHUNK_8_6_0_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,53,Implementation > A. MATERNAL CARE
SRC001_CHUNK_8_7_0_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,51,Implementation > B. NEWBORN CARE
SRC001_CHUNK_8_8_0_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,125,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS
SRC001_CHUNK_8_8_1_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,131,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.2  HIV catch-up testing
SRC001_CHUNK_8_8_1_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,395,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.2  HIV catch-up testing > RECOMMENDATION 2a
SRC001_CHUNK_8_8_1_2_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,697,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.2  HIV catch-up testing > RECOMMENDATION 2b
SRC001_CHUNK_8_8_1_3_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,2260,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.2  HIV catch-up testing > Remarks
SRC001_CHUNK_8_8_2_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,169,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.3  Screening for tuberculosis (TB) disease
SRC001_CHUNK_8_8_2_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,406,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.3  Screening for tuberculosis (TB) disease > RECOMMENDATION 3a
SRC001_CHUNK_8_8_2_2_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,393,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.3  Screening for tuberculosis (TB) disease > RECOMMENDATION 3b
SRC001_CHUNK_8_8_2_3_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,356,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.3  Screening for tuberculosis (TB) disease > RECOMMENDATION 3c
SRC001_CHUNK_8_8_2_4_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1470,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.1.3  Screening for tuberculosis (TB) disease > Remarks
SRC001_CHUNK_8_8_3_0_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,201,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS
SRC001_CHUNK_8_8_3_1_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,718,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Background
